x,VTR_reached_count,mean_evaluations,std_evaluations,mean_avg_obj_vals,std_avg_obj_vals,mean_best_obj_vals,std_best_obj_vals
6,5,851025.0,1855811.2031402872,1.0188230231376845,0.023303436691142782,1.0321709537162589,0.0041995201879054655
30,10,39192.0,22232.956078758398,1.0213402819993054,0.0025002788332887022,1.0345752650378484,0.00020314849983636636
60,10,78030.0,84572.5200050229,1.0186704088970253,0.004066534437859272,1.0345506619195004,0.00023375054903185374
90,10,52083.0,57551.732041703144,1.015545153394386,0.005019532837105139,1.034596840807135,0.00025862420956743117
120,10,70980.0,42662.97036072383,1.0164426902270378,0.003282906885390405,1.0344516433635385,9.639555423121096e-05
