x,VTR_reached_count,mean_evaluations,std_evaluations,mean_avg_obj_vals,std_avg_obj_vals,mean_best_obj_vals,std_best_obj_vals
0.1,10,1175460.0,472518.84305284586,0.5738565180596782,0.004324179395389238,0.6001399742869105,0.00020863085858499034
0.3,10,1322112.0,869308.3300739733,0.5752524030454753,0.006249980970180299,0.6001525997280132,0.00017698630283648697
0.5,10,1467696.0,385701.5456334081,0.5802325810158611,0.002804073343119216,0.6001799105770537,0.00023204113797694554
0.8,10,2229840.0,575272.700829789,0.5842236937709504,0.0030706311544998767,0.6002696668560097,0.00022448044393367367
0.9,10,1394340.0,342607.7683882839,0.594318073732444,0.006758331376938825,0.6000500104345582,8.66495989980108e-05
1.0,9,239506.66666666666,76655.72791528513,0.5985380627288889,0.0004144247389235528,0.5997910535794811,0.0006926154693604916
