x,VTR_reached_count,mean_evaluations,std_evaluations,mean_avg_obj_vals,std_avg_obj_vals,mean_best_obj_vals,std_best_obj_vals
12,3,3539212.8,2231586.753623206,0.5805775151591901,0.005263086713862638,0.5986250180279123,0.0017442091711605207
60,10,1155342.0,566573.6270212372,0.581748992639383,0.003166030329403056,0.6001121634270199,8.730645820951335e-05
120,10,1593672.0,868144.893123262,0.577356095027089,0.005252090474764201,0.6000739567745129,0.00018920905743114992
180,10,1741230.0,1021621.8670036385,0.5755793437754404,0.004400742686620181,0.6000592522139071,8.771482532463186e-05
240,10,2189352.0,736110.9172509263,0.5759223683167939,0.003592109397129002,0.6001293431427615,0.00013460668300737592
