x,VTR_reached_count,mean_evaluations,std_evaluations,mean_avg_obj_vals,std_avg_obj_vals,mean_best_obj_vals,std_best_obj_vals
18,8,1737781.2,1718421.0278555602,0.4307488049427617,0.005178289774693501,0.4950305755498752,0.00929417540794196
90,10,1013472.0,351683.83877568215,0.41781045346715134,0.004408854081778777,0.4998124113156024,0.0003100629529377302
180,10,2386944.0,776671.1444002539,0.4195172412002196,0.0034997827819186183,0.49962812144044194,0.00038589803303331385
270,10,2815533.0,939681.6206359471,0.41636773276010397,0.004360941264780538,0.4996825250899278,0.0003650834071893169
360,10,2865456.0,777782.0653524996,0.41386061625977943,0.0034017156694129374,0.4997452286650749,0.000336530309354052
