x,VTR_reached_count,mean_evaluations,std_evaluations,mean_avg_obj_vals,std_avg_obj_vals,mean_best_obj_vals,std_best_obj_vals
0.1,6,3831840.0,1393046.1175998445,0.5854221248232327,0.003403093939836507,0.599942664901082,0.00032249941102215497
0.3,8,3444732.0,1168460.1540215225,0.5845768293087381,0.002530728814195646,0.6000084114061888,0.0001686432571946722
0.5,10,1135956.0,551557.5236582309,0.5734449978414808,0.00977747509583248,0.6001788388974184,0.0001930941213008359
0.8,7,3334140.0,1262208.3165309916,0.5845777531706566,0.002507399031747518,0.599955429611925,0.00012430807299268606
1.0,7,4079184.0,789273.0815022136,0.5847186561620515,0.0014752249354467002,0.5999605125690763,0.0003182477418116926
