num_points,VTR_reached_count,mean_evaluations,std_evaluations,mean_avg_obj_vals,std_avg_obj_vals,mean_best_obj_vals,std_best_obj_vals
2,10,544.0,122.89833196589773,1.1259159229897553,0.06429501189785661,1.4142135623730954,2.220446049250313e-16
3,10,40992.0,31984.207603128143,1.0120153574098472,0.013247891462417543,1.0347180215058025,0.00025525927628573526
4,10,8256.0,1999.6159631289204,0.7137867727510615,0.041012849743030606,1.0,0.0
5,10,44150.0,15154.6857440199,0.5957433178504726,0.00989815285402547,0.7071067811865477,1.1102230246251565e-16
6,9,1498152.0,1290627.507879791,0.577009222730391,0.004690222951658082,0.6001661572196726,0.00021081060512010032
7,0,5000100.0,0.0,0.5132335108667936,0.0012421300335801948,0.5323348090945877,0.0013801835661468756
8,1,4822736.0,531792.0,0.48617509268844106,0.0021226210002339525,0.5146580987187478,0.0015141260790868469
9,10,1950858.0,676097.4220598686,0.4161833052411036,0.0044124950049860825,0.4996581489422788,0.00040674224038144655
